"","TransactionNumber","UserID","Age","Gender","Occupation","EducationLevel","MaritalStatus","NumDependents","Income","Expenditure","GiftsTransaction","TransactionDate","TransactionTime","TransactionAmount","MerchantID","TransactionType","TransactionLocation","DeviceType","Latitude","Longitude","EmailDomain","Terrorism","UserTenure","IsFraud"
"2992",10811,2513,30,"Male","Professional","High School","Married",4,66507.09,32955.49,"3798.16 GBP","2023-11-22","07:41:38 PM",222.51,"M008","Purchase","Canberra","Tablet",-20.917574,142.702789,"joseph68@yahoo.com","True",9,0
"2993",838,1185,49,"Female","Professional","Master","Married",3,57978.85,28407.36,"4162.39 GBP","2023-08-04","11:19:54",309.53,"M005","Purchase","Hobart","Tablet",-19.491411,132.550964,"kelly37@tempmail.com","False",52,0
"2994",8740,193,-1,"Male","Student","Master","Single",2,50724.87,21231.06,"3539.09 GBP","2023-07-09","13:30:19",96.52,"M004","Purchase","Adelaide","Desktop",-37.0201,144.9646,"ibrooks@gmail.com","False",74,0
"2995",7532,3043,-1,"Male","Student","High School","Married",0,134176.77,89107.26,"5748.93 GBP","2023-08-15","22:03:33",24.76,"M003","Payment","Darwin","Mobile",-31.840233,145.612793,"amy14@gmail.com","True",105,0
"2996",7759,536,27,"Male","Professional","High School","Married",1,156147.73,50988.31,"£ 821.09","2023-08-26","23:20:51",255.91,"M002","Transfer","Sydney","galaxys7",-37.0201,144.9646,"colemanbilly@tempmail.com","False",52,0
"2997",4597,1307,23,"Male","Professional","High School","Single",0,64143.75,34778.68,"902.98 GBP","2023-10-11","06:00:13",430,"M007","Purchase","Darwin","Mobile",-31.840233,145.612793,"romerotoni@gmail.com","True",39,0
"2998",9609,1442,32,"Female","Professional","Bachelor","Married",4,81674.91,42317.6,"£ 8265.69","2023-07-18","13:59:36",159.54,"M004","Purchase","Hobart","Mobile",-31.840233,145.612793,"gbarrett@gmail.com","False",1,0
"2999",5785,4690,50,"Female","Professional","Master","Married",0,22624.83,9074.02,"£ 1742.52","2023-08-10","18:47:49",115.68,"M008","Purchase","Perth","Desktop",-37.0201,144.9646,"jacob60@gmail.com","False",111,0
"3000",17716,1726,32,"Male","Student","High School","Married",3,59233.53,21903.744,"AU$ 2714.85","2023-09-04","21:19:23",20.876,"M005","Payment","Hobart","Desktop",-31.840233,145.612793,"barbaradavis@yahoo.com","False",37,0
"3001",604,2874,32,"Male","Professional","Bachelor","Married",1,63350.17,36893.79,"£ 2378.22","2023-11-25","08:25:40",90.21,"M001","Payment","Brisbane","Mobile",-25.042261,117.793221,"sheiladavis@gmail.com","False",67,0
"3002",11847,3580,42,"Male","Student","Master","Married",1,24468.3,10702.82,"£ 833.83","2023-12-03","05:08:45",645.14,"M008","Purchase","Melbourne","Tablet",-20.917574,142.702789,"burnsanthony@outlook.com","False",85,0
"3003",14826,4114,44,"Female","Student","Master","Single",2,85566.5,54946.988,"6262.09 AUD","2023-03-04","20:12:58",10.844,"M002","Purchase","Adelaide","iphone 15",-35.473469,149.012375,"morenochristine@gmail.com","False",36,0
"3004",7225,740,-1,"Male","Student","Master","Married",2,41898.42,17799.73,"£ 658.25","2023-09-08","15:05:20",530.02,"M001","Purchase","Hobart","smartphone",-20.917574,142.702789,"brownjohn@gmail.com","False",56,0
"3005",2311,618,32,"Female","Professional","Master","Single",0,127147.72,46202.86,"5177.72 GBP","2023-02-04","01:39:37",23.2,"M004","Withdrawal","Perth","mob",-37.0201,144.9646,"christinaparker@gmail.com","True",64,1
"3006",12262,3860,40,"Male","Professional","Bachelor","Widowed",3,60310.78,38521.31,"£ 2709.82","2023-01-17","22:16:52",213.8,"M001","Purchase","Perth","Desktop",-25.042261,117.793221,"jeremynichols@gmail.com","False",96,0
"3007",14209,212,26,"Male","Professional","High School","Single",2,78535.29,37435.76,"7483.37 GBP","2023-09-25","09/57/39",128.65,"M008","Transfer","Perth","Mobile",-37.0201,144.9646,"zperry@tempmail.com","True",27,0
"3008",1982,4616,34,"Female","Student","High School","Married",4,45535.53,15621.48,"£ 538.14","2023-11-11","10:49:03",81.57,"M006","Purchase","Melbourne","android",-37.0201,144.9646,"arielhardy@gmail.com","False",92,0
"3009",8391,613,27,"Male","Professional","High School","Married",3,79122.79,59520.07,"5656.64 GBP","2023-07-27","05:07:27",1274.29,"M003","Withdrawal","Canberra","Mobile",-31.840233,145.612793,"smithstephanie@tempmail.com","False",83,1
"3010",8677,1130,30,"Female","Professional","Master","Single",4,45828.1,35572.03,"£ 4287.76","2023-12-04","19:14:42",273.72,"M006","Purchase","Adelaide","Mobile",-25.042261,117.793221,"jessewood@gmail.com","False",21,0
"3011",5728,231,42,"Female","Professional","High School","Single",3,58944.75,22800.76,"£ 2033.02","2023-10-03","07:23:55",353.03,"M002","Withdrawal","Canberra","Desktop",-20.917574,142.702789,"ohughes@gmail.com","True",90,1
"3012",2823,1961,36,"Male","Retired","Master","Single",2,87757.63,56061.15,"8819.37 GBP","2023-08-11","05:11:31",117.03,"M002","Transfer","BNE","Desktop",-37.0201,144.9646,"christopher53@gmail.com","False",75,1
"3013",4551,224,37,"Female","Professional","High School","Married",4,85562.91,52584.22,"£ 9143.77","2023-12-25","19:54:34",96.84,"M005","Transfer","Perth","Mobile",-37.0201,144.9646,"robertthomas@gmail.com","True",112,0
"3014",5336,860,35,"Male","Professional","Bachelor","Married",1,43110.72,27128.72,"8262.03 GBP","2023-04-06","17:01:13",253.3,"M004","Purchase","Darwin","iphone 15",-31.840233,145.612793,"ymcknight@securemail.com","False",80,0
"3015",4453,1881,-1,"Female","Professional","High School","Married",4,71429.31,22102.38,"5022.46 GBP","2023-11-13","14:07:41",49.12,"M008","Withdrawal","Adelaide","android",-31.840233,145.612793,"andradeandrea@tempmail.com","False",114,1
"3016",17058,2298,34,"Male","Unemployed","PhD","Single",0,74275.55,41089.204,"10230.08 AUD","2023-05-18","19:25:56",134.752,"M006","Purchase","Adelaide","Desktop",-37.0201,144.9646,"mary34@tempmail.com","False",108,0
"3017",3749,2769,-1,"Female","Professional","Master","Single",0,90605.97,44683.82,"£ 5229.31","2023-08-23","07:11:34",669.29,"M004","Withdrawal","Brisbane","Mobile",-31.840233,145.612793,"timothycharles@tempmail.com","False",23,1
"3018",14010,2802,-1,"Female","Student","Master","Married",0,34891.8,15308.59,"£ 1216.6","2023-03-13","07:11:41 AM",225.64,"M002","Payment","Sydney","Mobile",-20.917574,142.702789,"amanda79@disposable.com","True",85,0
"3019",8001,1712,41,"Female","Professional","High School","Single",0,82652.21,61106.92,"£ 3987.98","2023-02-08","19:37:12",408.47,"M008","Transfer","Canberra","Mobile",-20.917574,142.702789,"hannahhanson@yahoo.com","False",40,0
"3020",16551,1522,44,"Male","Student","Master","Single",1,84139.36,39846.256,"AU$ 14602.79","2023-11-09","16:43:35",342.376,"M008","Purchase","Adelaide","Mobile",-25.042261,117.793221,"holly39@securemail.com","True",97,0
"3021",16672,739,43,"Other","Professional","Bachelor","Married",1,50934.97,30516.564,"AU$ 5074.62","2023-10-31","11:07:07",417.5,"M001","Withdrawal","Melbourne","Desktop",-20.917574,142.702789,"agreen@outlook.com","False",109,0
"3022",9079,713,54,"Female","Professional","High School","Single",0,72017.7,37137.42,"£ 3911.8","2023-03-16","01:25:46",14.75,"M003","Withdrawal","Canberra","Tablet",-37.0201,144.9646,"melanieyates@yahoo.com","True",17,1
"3023",524,2482,21,"Male","Professional","Bachelor","Single",4,65214.77,34144.7,"650.13 GBP","2023-11-28","05:04:58",1347.87,"M007","Purchase","Darwin","galaxys7",-37.0201,144.9646,"flemingcarrie@outlook.com","False",67,1
"3024",14391,1320,-1,"Male","Student","Bachelor","Single",2,122930.21,74381.95,"372.53 GBP","2023-08-19","07:25:57 PM",198.89,"M008","Transfer","Perth","Mobile",-25.042261,117.793221,"gregory67@gmail.com","True",109,0
"3025",9139,3380,40,"Female","Student","High School","Married",4,112791.83,56660.3,"6123.06 GBP","2023-09-16","20:57:44",131.57,"M003","Purchase","Adelaide","Mobile",-37.0201,144.9646,"joshua37@outlook.com","True",20,0
"3026",8450,4832,38,"Other","Professional","PhD","Single",2,51713.41,33083.31,"1372.29 GBP","2023-09-13","22:06:38",40.61,"M005","Payment","Canberra","Tablet",-30.000233,136.209152,"baileydanielle@gmail.com","False",65,0
"3027",16279,4387,40,"Male","Student","Master","Married",0,32085.91,21584.872,"AU$ 144.92","2023-12-15","21/41/32",86.992,"M004","Purchase","Canberra","Tablet",-30.000233,136.209152,"bookershawn@gmail.com","False",95,0
"3028",16813,3268,35,"Female","Professional","High School","Single",2,89349.76,53672.168,"AU$ 6350.71","2023-03-23","16/45/05",202.68,"M006","Transfer","Canberra","Desktop",-25.042261,117.793221,"johnathan09@gmail.com","False",88,0
"3029",13517,1821,-1,"Female","Professional","Bachelor","Married",0,50322.94,27941.57,"£ 3624.71","2023-11-14","08:45:05",60.87,"M005","Purchase","Adelaide","Tablet",-20.917574,142.702789,"astephens@outlook.com","False",104,0
"3030",122,450,-1,"Female","Student","Bachelor","Widowed",0,41903.7,25233.54,"5510.08 GBP","2023-02-25","00:34:36",20.62,"M006","Transfer","Sydney","Desktop",-37.0201,144.9646,"evansruben@gmail.com","False",43,1
"3031",4366,2412,33,"Female","Professional","Master","Married",2,38660.97,19043.81,"£ 1095.24","2023-10-29","23:16:31",67.94,"M005","Transfer","Hobart","Mobile",-25.042261,117.793221,"dalepratt@outlook.com","False",26,0
"3032",10444,3605,18,"Female","Professional","Bachelor","Married",3,50688.93,20744.84,"2527.16 GBP","2023-06-26","02:11:12",1152.31,"M005","Transfer","Melbourne","Mobile",-31.840233,145.612793,"garciabrandon@gmail.com","False",70,0
"3033",11050,3752,46,"Female","Professional","Bachelor","Single",4,43675.01,18519.27,"£ 3835.73","2023-07-02","23/06/54",69.62,"M004","Purchase","Adelaide","Tablet",-37.0201,144.9646,"nicolemann@outlook.com","False",94,0
"3034",2302,3035,34,"Male","Student","High School","Single",4,68353.22,29726.02,"£ 455.14","2023-02-16","14:55:54",68.61,"M006","Purchase","Hobart","Mobile",-37.0201,144.9646,"sean55@securemail.com","False",80,0
"3035",7397,4896,30,"Male","Student","Bachelor","Married",0,53391.48,41193.9,"£ 3600.12","2023-03-27","20/20/34",253.64,"M007","Purchase","Melbourne","Mobile",-31.840233,145.612793,"lsmith@gmail.com","False",60,0
"3036",15426,1681,40,"Female","Professional","High School","Married",0,31488.51,9509.968,"AU$ 3564.37","2023-12-26","05:52:31",72.712,"M008","Payment","Canberra","Desktop",-30.000233,136.209152,"bgonzalez@gmail.com","False",112,1
"3037",5820,1478,18,"Male","Professional","High School","Married",0,96662.05,73486.57,"3904.81 GBP","2023-03-06","19:10:48",132.77,"M001","Withdrawal","Melbourne","Desktop",-37.0201,144.9646,"caincheryl@outlook.com","False",70,0
"3038",9197,3905,24,"Male","Professional","Bachelor","Single",0,72224.99,32913.09,"3568.01 GBP","2023-08-15","00/00/00",1300.03,"M005","Purchase","Sydney","Mobile",-37.0201,144.9646,"gabriel49@gmail.com","True",21,1
"3039",11512,4039,-1,"Female","Student","High School","Married",1,22538.26,9420.28,"£ 673.12","2023-09-29","01:22:51 AM",991.08,"M005","Purchase","Melburn","Desktop",-37.0201,144.9646,"benjaminrodriguez@securemail.com","True",22,0
"3040",15372,3330,43,"Female","Professional","Bachelor","Single",3,30177.22,15930.892,"2196.77 AUD","2023-05-14","01:25:00",953.068,"M007","Withdrawal","Hobart","smartphone",-31.840233,145.612793,"wayne53@outlook.com","False",92,1
"3041",8880,4098,36,"Male","Professional","Bachelor","Single",1,63845.91,46904.17,"£ 1961.23","2023-07-10","22:17:13",774.4,"M002","Payment","Adelaide","Mobile",-20.917574,142.702789,"tcompton@gmail.com","False",52,0
"3042",3055,7,-1,"Male","Professional","Bachelor","Single",4,125115.03,98229.37,"3664.57 GBP","2023-12-22","09:20:20",51.2,"M003","Purchase","Melbourne","Tablet",-31.840233,145.612793,"kaufmanbeth@gmail.com","False",75,0
"3043",3566,2325,-1,"Female","Professional","Bachelor","Married",3,63650.41,26834.36,"1610.39 GBP","2023-12-29","05:59:12",43.62,"M002","Transfer","Brisbane","Desktop",-20.917574,142.702789,"michaelkennedy@gmail.com","True",10,1
"3044",48,2482,-1,"Male","Professional","Bachelor","Single",4,65214.77,34144.7,"£ 650.13","2023-11-28","05/40/49",59.19,"M007","Withdrawal","Canberra","Desktop",-37.0201,144.9646,"flemingcarrie@outlook.com","False",67,1
"3045",10324,427,39,"Male","Professional","Bachelor","Married",2,128835.67,46376.11,"2199.12 GBP","2023-12-02","06/28/40",12.57,"M008","Purchase","Hobart","iphone 15",-20.917574,142.702789,"zterry@gmail.com","False",45,0
"3046",501,67,35,"Female","Student","High School","Divorced",2,56423.62,24912.42,"4633.13 GBP","2023-12-19","02:38:54",75.9,"M008","Purchase","Canberra","android",-41.640079,146.315918,"etaylor@gmail.com","False",84,1
"3047",3185,4740,36,"Male","Student","High School","Single",2,151249.15,86366.39,"£ 3118.21","2023-06-19","07:13:32",63.5,"M004","Withdrawal","Sydney","Desktop",-37.0201,144.9646,"lray@yahoo.com","False",94,1
"3048",13304,905,34,"Female","Student","PhD","Married",0,110160.31,73281.78,"£ 2804.93","2023-12-19","13:04:18",1388.87,"M007","Purchase","Darwin","Mobile",-25.042261,117.793221,"ycarpenter@gmail.com","True",22,0
"3049",229,2445,36,"Female","Student","High School","Single",2,62446.05,45993.76,"1952.91 GBP","2023-11-14","15/37/23",76.74,"M002","Purchase","Darwin","Desktop",-20.917574,142.702789,"garrett68@outlook.com","False",89,0
"3050",12179,3864,31,"Male","Professional","High School","Single",3,44577.43,17812.65,"£ 3106.31","2023-12-27","23/59/59",71.17,"M003","Purchase","Melbourne","Mobile",-25.042261,117.793221,"linda03@gmail.com","False",13,0
"3051",2824,296,-1,"Female","Unemployed","High School","Single",2,41319.91,32311.56,"2647.1 GBP","2023-12-29","21:30:57",672.36,"M007","Transfer","Melbourne","Desktop",-20.917574,142.702789,"michelecummings@gmail.com","False",105,0
"3052",8772,4718,51,"Male","Student","Bachelor","Single",2,51963.6,31636.16,"£ 10.64","2023-11-20","07:16:45",491.14,"M004","Transfer","Mel","Desktop",-31.840233,145.612793,"darrenroberts@outlook.com","False",37,0
"3053",12598,610,39,"Male","Student","Master","Married",0,62231.9,44991.13,"4987.56 GBP","2023-10-16","17/43/24",184.21,"M008","Withdrawal","Canberra","galaxys7",-37.0201,144.9646,"whitedwayne@tempmail.com","False",96,1
"3054",3007,1378,48,"Female","Student","Bachelor","Divorced",0,88955.96,55817.31,"£ 1536.11","2023-06-07","23:23:02",380.08,"M002","Purchase","Darwin","Desktop",-20.917574,142.702789,"franciscoalexander@securemail.com","False",69,0
"3055",4305,3807,54,"Male","Professional","Bachelor","Single",1,39560.67,13909.15,"949.89 GBP","2023-09-18","03:00:31",2.9,"M003","Purchase","Canberra","Desktop",-37.0201,144.9646,"petersonhoward@yahoo.com","True",109,1
"3056",1074,3906,37,"Female","Professional","Master","Single",2,77989.81,36200.95,"£ 577.65","2023-01-01","23:39:49",59.57,"M004","Transfer","Adelaide","Desktop",-31.840233,145.612793,"donna33@gmail.com","False",54,0
"3057",12326,3514,21,"Female","Professional","Bachelor","Married",3,73114.51,35941.37,"£ 2999.11","2023-11-16","02:36:58",167.99,"M003","Transfer","Perth","Desktop",-20.917574,142.702789,"gtrujillo@yahoo.com","False",45,1
"3058",14007,4495,21,"Other","Student","Bachelor","Single",3,70441.63,23376.35,"1017.85 GBP","2023-08-14","10:12:31",40.36,"M003","Transfer","Sydney","Desktop",-19.491411,132.550964,"danny37@outlook.com","False",41,0
"3059",7653,2422,22,"Male","Professional","Master","Married",2,74344.73,55539.05,"£ 2685.39","2023-11-09","14:26:29",220.31,"M003","Transfer","Perth","Mobile",-37.0201,144.9646,"jcook@securemail.com","False",32,0
"3060",7210,4971,-1,"Male","Student","Bachelor","Married",4,44045.64,14351.31,"898.14 GBP","2023-12-13","04/48/53",76.98,"M002","Purchase","Perth","android",-37.0201,144.9646,"tpace@gmail.com","False",23,1
"3061",2944,1068,28,"Male","Professional","Master","Married",2,60095.7,47584.33,"293.05 GBP","2023-09-24","06/44/02",11.96,"M004","Withdrawal","Sydney","Mobile",-31.840233,145.612793,"ijohnson@outlook.com","True",48,1
"3062",10591,1160,42,"Male","Professional","Bachelor","Single",0,108228.91,70726.21,"£ 9579.99","2023-10-16","22:01:06",109.62,"M004","Payment","Hobart","Mobile",-31.840233,145.612793,"burnettalicia@gmail.com","False",110,0
"3063",15340,2158,24,"Male","Unemployed","High School","Single",0,65287.72,38580.148,"1808.61 AUD","2023-08-18","00:00:00",46.768,"M004","Transfer","Brisbane","iphone 15",-20.917574,142.702789,"shannon10@outlook.com","False",36,1
"3064",8638,2792,-1,"Male","Professional","Bachelor","Divorced",1,60890.14,34038.71,"£ 1583.34","2023-12-16","14:26:00",161.44,"M005","Transfer","Hobart","smartphone",-20.917574,142.702789,"lorimyers@outlook.com","True",3,0
"3065",10362,3274,40,"Male","Professional","High School","Married",4,89819.4,53665.15,"751.69 GBP","2023-09-10","15:56:35",129.36,"M006","Withdrawal","Darwin","Desktop",-20.917574,142.702789,"robertweber@gmail.com","False",4,1
"3066",4433,3075,30,"Female","Professional","Bachelor","Married",2,47241.47,28495.43,"£ 2269.64","2023-10-11","04/01/29",62.82,"M004","Purchase","Hobart","galaxys7",-37.0201,144.9646,"gcasey@gmail.com","False",111,1
"3067",12331,4505,45,"Male","Retired","Bachelor","Married",4,84475.87,64293,"3477.98 GBP","2023-11-17","21:40:19",212.01,"M005","Purchase","Melbourne","Mobile",-20.917574,142.702789,"jharris@gmail.com","True",19,0
"3068",4161,2112,41,"Male","Retired","Bachelor","Married",0,71410.6,48853.36,"138.34 GBP","2023-08-10","19:52:14",188.38,"M003","Purchase","Hobart","Desktop",-41.640079,146.315918,"terrimartin@gmail.com","False",58,0
"3069",3117,436,26,"Male","Professional","Bachelor","Married",0,35792.81,17629.4,"1328.24 GBP","2023-12-12","18:39:28",108.21,"M007","Withdrawal","Brisbane","Desktop",-31.840233,145.612793,"floresamanda@tempmail.com","False",45,1
"3070",15807,1471,45,"Other","Student","High School","Married",4,61353.41,40701.08,"AU$ 1541.61","2023-11-25","20:35:43",376.892,"M007","Payment","Melburn","Desktop",-31.840233,145.612793,"brenda53@gmail.com","True",67,0
"3071",6878,1563,37,"Male","Professional","Bachelor","Single",3,132438.63,95605.25,"£ 936.52","2023-12-06","14:24:19",14.02,"M004","Purchase","Perth","Mobile",-30.000233,136.209152,"martin41@yahoo.com","True",115,0
"3072",15382,4034,44,"Male","Student","PhD","Married",2,65335.68,49334.272,"16294.07 AUD","2023-12-08","23:20:34",216.648,"M006","Transfer","Melbourne","Mobile",-41.640079,146.315918,"fharrington@gmail.com","False",70,0
"3073",10260,4025,50,"Male","Professional","High School","Single",1,73368.22,25864.8,"£ 726.9","2023-07-27","05:53:24",3260.51,"M001","Withdrawal","Melbourne","Mobile",-25.042261,117.793221,"kwood@outlook.com","True",70,1
"3074",5322,850,36,"Female","Professional","Bachelor","Married",4,102352.89,55466.89,"£ 1688.95","2023-05-11","19:48:07",392.12,"M005","Payment","Melbourne","Mobile",-37.0201,144.9646,"perryaaron@gmail.com","False",29,0
"3075",12243,3459,42,"Other","Student","Bachelor","Single",0,62768.43,24860.55,"5244.93 GBP","2023-07-09","02:28:03",187.37,"M008","Withdrawal","Melbourne","Mobile",-25.042261,117.793221,"bsimon@gmail.com","False",27,1
"3076",11603,2066,20,"Male","Student","High School","Single",3,64472.69,21418.2,"£ 125.77","2023-09-23","04:51:48 PM",248.78,"M001","Transfer","Darwin","android",-37.0201,144.9646,"stephanie80@yahoo.com","False",93,0
"3077",2419,987,42,"Male","Professional","Bachelor","Married",1,49864.6,22072.97,"£ 2036.67","2023-11-13","20:08:45",384.57,"M007","Transfer","Perth","Mobile",-37.0201,144.9646,"williamsmichael@outlook.com","False",81,0
"3078",15161,3690,37,"Female","Professional","Bachelor","Married",4,71052.68,48106.284,"AU$ 3536.3","2023-09-11","17:18:37",36.88,"M005","Purchase","Hobart","Desktop",-31.840233,145.612793,"dylanperkins@gmail.com","True",90,0
"3079",14805,1715,23,"Female","Professional","High School","Married",3,82984.83,58277.824,"6795.26 AUD","2023-10-26","04:31:25",12.64,"M006","Transfer","MLB","mob",-37.0201,144.9646,"rebecca43@gmail.com","False",25,0
"3080",13505,2710,46,"Female","Unemployed","High School","Single",0,34611.18,12975.02,"1164.58 GBP","2023-12-19","10:31:32 AM",238.44,"M003","Purchase","Hobart","Mobile",-25.042261,117.793221,"durankimberly@outlook.com","True",91,0
"3081",11976,263,20,"Male","Student","High School","Single",2,27640.95,19572.72,"£ 2430.64","2023-07-02","14:59:48",186.37,"M006","Purchase","Adelaide","Mobile",-37.0201,144.9646,"mroberts@disposable.com","False",45,0
"3082",1017,3026,38,"Female","Retired","High School","Married",2,64049.6,45132.92,"4841.43 GBP","2023-07-16","10:26:43",63.85,"M001","Transfer","Adelaide","Mobile",-31.840233,145.612793,"michael47@outlook.com","True",7,0
"3083",11073,2237,43,"Male","Professional","Bachelor","Single",0,51679.98,36092.45,"£ 2046.24","2023-10-06","07:04:27",19.49,"M003","Withdrawal","Adelaide","mob",-31.840233,145.612793,"hansenleah@tempmail.com","False",98,1
"3084",8540,2294,45,"Male","Student","High School","Single",4,133987.93,56115.31,"£ 9619.8","2023-10-25","13:26:18",95.63,"M007","Withdrawal","Brisbane","Desktop",-25.042261,117.793221,"derrick41@gmail.com","False",98,1
"3085",7743,155,39,"Male","Unemployed","Bachelor","Single",3,59481.43,27141.16,"1456.59 GBP","2023-09-15","17:41:48",37.91,"M003","Purchase","Adelaide","Mobile",-37.0201,144.9646,"steven09@outlook.com","True",43,0
"3086",1928,3077,37,"Female","Professional","PhD","Married",2,96208.45,73075.09,"7340.24 GBP","2023-02-01","17:11:58",230.92,"M007","Transfer","Brisbane","Desktop",-25.042261,117.793221,"allenpeter@outlook.com","False",86,0
"3087",17066,2407,24,"Female","Student","High School","Widowed",0,52760.64,23910.296,"AU$ 3103.6","2023-05-07","01:04:00",42.868,"M006","Purchase","Sydney","mob",-31.840233,145.612793,"anthonywashington@yahoo.com","False",47,1
"3088",350,1897,25,"Female","Student","Bachelor","Single",3,77186.1,52616.24,"3419.34 GBP","2023-12-14","02:43:39",597.73,"M005","Withdrawal","Darwin","Desktop",-31.840233,145.612793,"perezsydney@yahoo.com","True",10,1
"3089",15375,3176,42,"Male","Student","Bachelor","Married",2,126365.89,86534.872,"10856.38 AUD","2023-07-17","09:19:24",91.488,"M001","Purchase","Hobart","Desktop",-25.042261,117.793221,"ashleyfrederick@gmail.com","False",36,0
"3090",223,2829,32,"Female","Professional","Master","Single",3,76961.02,45107.24,"1626.96 GBP","2023-07-25","01:06:59",128.44,"M001","Payment","Brisbane","Tablet",-37.0201,144.9646,"vickihernandez@yahoo.com","True",3,1
"3091",6030,2850,-1,"Male","Professional","Bachelor","Single",1,34815.32,22447.16,"10.75 GBP","2023-10-15","00:00:00",22.89,"M007","Payment","Adelaide","Tablet",-37.0201,144.9646,"douglasanderson@yahoo.com","True",74,1
"3092",17710,1617,18,"Male","Professional","High School","Single",1,63035.98,36644.056,"AU$ 3009.44","2023-12-29","01:43:44 PM",367.928,"M006","Purchase","Perth","Mobile",-31.840233,145.612793,"lindsay08@outlook.com","False",53,0
"3093",18133,4784,42,"Male","Professional","High School","Single",1,89398.3,37023.32,"AU$ 9866.08","2023-10-21","15:14:05",97.432,"M001","Purchase","Sydney","Desktop",-31.840233,145.612793,"phillipbrown@gmail.com","True",116,0
"3094",9179,3627,-1,"Male","Student","High School","Married",4,37515.81,18105.9,"4307.86 GBP","2023-08-18","06/43/15",125.53,"M005","Transfer","Hobart","Mobile",-30.000233,136.209152,"ucole@yahoo.com","False",81,0
"3095",12565,2508,25,"Male","Student","High School","Married",0,69936.08,21567.19,"140.11 GBP","2023-06-21","10:41:57",33.14,"M008","Purchase","Melbourne","Mobile",-30.000233,136.209152,"christina65@yahoo.com","False",50,0
"3096",2500,2054,-1,"Male","Professional","High School","Married",1,89355.14,27990.79,"4547.9 GBP","2023-10-02","21:56:31",402.32,"M001","Payment","Hobart","Tablet",-20.917574,142.702789,"oespinoza@outlook.com","True",55,0
"3097",13211,585,44,"Other","Professional","High School","Single",3,30985.63,11706.36,"£ 2515.21","2023-12-06","23:49:17",186.2,"M006","Purchase","Darwin","Desktop",-20.917574,142.702789,"nharris@gmail.com","False",16,0
"3098",564,265,18,"Other","Professional","Master","Married",4,122251.78,48769.91,"£ 11454.45","2023-11-27","20:28:24",509.13,"M005","Withdrawal","Adelaide","Desktop",-37.0201,144.9646,"amandaolson@gmail.com","False",117,1
"3099",9774,4406,30,"Male","Student","High School","Single",0,43450.97,17077.37,"£ 62.38","2023-07-18","01:13:47",680.69,"M007","Withdrawal","Perth","Desktop",-37.0201,144.9646,"qowens@yahoo.com","False",113,1
"3100",10367,4497,-1,"Male","Retired","High School","Widowed",1,57419.15,17641.37,"513.98 GBP","2023-11-10","09:16:51 PM",26.77,"M008","Withdrawal","Perth","Desktop",-37.0201,144.9646,"bankstony@gmail.com","False",101,1
"3101",14022,1302,18,"Female","Professional","Bachelor","Married",1,72914.97,42960.45,"4038.74 GBP","2023-12-22","00:05:53",147.78,"M002","Withdrawal","Sydney","Desktop",-37.0201,144.9646,"stephanieclark@gmail.com","False",64,1
"3102",13576,2069,28,"Female","Professional","High School","Single",1,120065.07,75313.71,"3744.94 GBP","2023-09-15","10:55:45 AM",50.92,"M008","Purchase","Perth","Tablet",-31.840233,145.612793,"uherman@disposable.com","False",7,0
"3103",12476,567,-1,"Male","Unemployed","Master","Married",3,54059.03,19270.13,"1427.3 GBP","2023-11-24","04/43/24",313.01,"M004","Purchase","Melbourne","Tablet",-25.042261,117.793221,"keithbartlett@outlook.com","True",79,0
"3104",3385,2155,26,"Male","Retired","High School","Single",3,60007.9,24181.11,"2654.45 GBP","2023-01-03","15:51:43",58.04,"M003","Purchase","Hobart","Desktop",-31.840233,145.612793,"kleinashley@outlook.com","False",92,0
"3105",3933,2020,41,"Female","Professional","High School","Married",3,83177.87,27412.41,"£ 3562.87","2023-10-15","04/30/11",333.51,"M006","Purchase","Perth","Mobile",-31.840233,145.612793,"monica81@gmail.com","False",76,1
"3106",7959,634,-1,"Male","Retired","Bachelor","Married",2,37099.67,20908.35,"£ 6246.47","2023-12-05","06:36:53",737.6,"M002","Purchase","Hobart","Mobile",-30.000233,136.209152,"taylornathan@disposable.com","False",96,0
"3107",2707,409,35,"Female","Retired","High School","Single",3,48890.28,32383.31,"£ 3683.26","2023-03-25","18:29:49",33.92,"M007","Payment","Adelaide","galaxys7",-31.840233,145.612793,"stevenyates@yahoo.com","False",100,0
"3108",2790,2849,51,"Female","Student","High School","Married",2,34986.71,17067.86,"£ 811.45","2023-02-14","04:12:31 AM",1814.01,"M005","Purchase","Perth","Desktop",-31.840233,145.612793,"michelle43@gmail.com","False",8,1
"3109",3446,4190,41,"Male","Professional","High School","Married",0,61792.78,45666.95,"£ 2575.47","2023-06-19","04:29:41",134.1,"M008","Payment","Melbourne","Mobile",-31.840233,145.612793,"watsonrobert@gmail.com","False",119,0
"3110",12609,3190,25,"Male","Student","PhD","Single",0,76017.28,45909.28,"1822.8 GBP","2023-11-30","17:36:56",181.98,"M006","Transfer","Adelaide","galaxys7",-31.840233,145.612793,"shawmichele@gmail.com","False",89,0
"3111",3535,4795,44,"Female","Professional","Master","Single",3,27120.05,14636.81,"£ 279.44","2023-04-12","22:08:21",113.11,"M001","Purchase","Canberra","Tablet",-37.0201,144.9646,"kathleenwebster@yahoo.com","False",106,0
